state,labeler_code,total_prescriptions,total_medicaid_spending,drug_count
AL,72495,34.0,6791.5,1
AL,71321,34.0,1932.42,1
AL,51144,33.0,50456.03,1
AL,53451,33.0,29048.91,1
AL,63833,31.0,346438.47,1
AL,68418,30.0,78313.76,1
AL,70095,30.0,533.13,1
AL,64597,29.0,33669.04,2
AL,53436,29.0,28076.9,1
AL,76075,26.0,93645.37,1
AL,00049,26.0,467.06999999999994,1
AL,52544,24.0,786.86,1
AL,73179,23.0,479845.93999999994,1
AL,42195,23.0,2327.16,1
AL,69911,22.0,839712.72,2
AL,62856,22.0,7279.07,1
AL,73684,21.0,33660.87,1
AL,00187,19.0,10754.34,1
AL,68134,19.0,3069.45,1
AL,81279,18.0,26198.16,1
AL,75854,18.0,5061.04,1
AL,83301,18.0,193.45,1
AL,50268,16.0,1811.63,1
AL,46122,16.0,232.61,1
AL,63739,15.0,240.15,1
AL,00178,14.0,1066.14,1
AL,00536,14.0,288.43,1
AL,63020,13.0,322453.82,1
AL,73683,13.0,42884.72,1
AL,64679,13.0,3743.83,1
AL,81665,13.0,3343.21,1
AL,68084,13.0,493.36,1
AL,63090,12.0,432223.5,1
AL,75626,12.0,135953.4,1
AL,63459,12.0,133854.72,1
AL,72089,12.0,26830.2,1
